Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year,Working capital,Current ratio,Quick ratio,Accounts receivable turnover,Average days to collect receivables,Inventory turnover,Average days to collect inventory,Debt to assets,Debt to equity,Number of times interest is earned,Net margin (or return on sales),Asset turnover ratio,Return on investment,Return on equity,Earnings per share,Book value per share,Price-Earnings (P/E) ratio,Dividend yield
TSCO,2019,12.866,17.3821,87.477,39.3019,29736,5401 Virginia Way,37027,Brentwood,0,0,0,0,0,1,0,5200,TRACTOR SUPPLY CO,916365,USA,1787.887,5289.268,84.241,1602.781,0,1247.6,3722.145,3352.758,0,0,0,1567.123,5480.161,0,162.699,746.162,4.7,562.354,562.354,8351.931,19.843,118.165,2709.166,93.44,0,3085.26,4.11,1589.54,1561.82,5208.52,121.83,540.287,1.433061077,0.067522443,4064.2,0.089808572,3.433339567,106.3104866,0.703716469,2.37514541,37.60328579,0.067332213,1.994603397,0.134301062,0.359453017,4.75905725,13.26215885,19.63414077,1.741213613
CTRN,2019,0,13.2104,87.477,33.6284,163051,104 Coleman Boulevard,31408,Savannah,0,0,0,0,0,1,0,5651,CITI TRENDS INC,1318484,USA,201.207,459.145,19.923,138.258,27.562,150.862,288.101,234.839,0,0,1.186,171.044,484.74,0,3.765,18.962,1.41,16.503,16.503,781.925,0.158,10.834,178.26,23.29,1.19,297.99,0,139.84,187.43,476.33,12.16,50.345,1.333715581,0.322619347,1314.159664,0.277744029,3.486109213,104.7012522,0.627472803,1.684367765,120.0126582,0.021105605,2.065483698,0.043593283,0.092073623,1.523260107,15.78770537,15.28957523,0.161657364
URG,2019,0,10.9734,84.979,32.0491,165637,"10758 West Centennial Road, Suite 200",80127,Littleton,1,0,0,0,0,0,0,1090,UR ENERGY INC,1375205,CAN,8.659,90.39,7.752,0,0,2.283,46.057,66.842,0,0,0.022,44.333,25.862,0,0,-8.289,-0.05,-8.418,-8.418,32.255,0.668,160.478,12.227,0.5885,0.02,100.36,0.03,1.84,51.85,6.86,159.73,6.376,3.79281647,3.405168638,1290.2,0.282901876,28.11086957,12.98430129,0.509536453,1.03888751,-12.40868263,-0.260982793,0.33819135,-0.088262123,-0.175041327,-0.052455788,0.276255935,-11.21897161,0
SPWH,2020,0,13.2104,84.979,32.7935,16009,"1475 West 9000 South, Suite A",84088,West Jordan,0,0,0,0,0,1,0,5940,SPORTSMANS WAREHOUSE HLDGS,1132105,USA,324.653,660.818,65.525,243.434,0,227.428,456.158,334.38,0,0,0.581,204.66,953.484,0,0,132.747,2.1,91.38,91.38,1451.767,3.506,43.623,264.31,17.52,0.58,616.64,1.72,275.51,110.27,570.45,43.3,97.225,1.427497933,0.290667816,1262.406087,0.289130418,3.674708639,99.32760277,0.69029294,2.228857618,37.86280662,0.062943985,2.272899774,0.143065369,0.580319436,2.094766522,4.691561791,8.363700591,0
HVT,2020,7.067,25.1209,87.477,39.9457,5523,"780 Johnson Ferry Road, Suite 800",30342,Atlanta,0,0,0,0,0,1,0,5712,HAVERTY FURNITURE,216085,USA,316.244,680.372,200.058,89.908,6.713,204.041,427.405,337.115,0,0,0,252.967,311.051,0,50.521,39.405,3.18,59.148,59.148,748.252,0.391,18.212,233.666,27.67,0,560.07,1.37,104.82,260.5,347.21,19.11,112.203,1.549904186,1.013379664,1092.338686,0.334145448,3.194722896,114.2509106,0.628193106,1.689568205,100.7800512,0.079048235,1.206428031,0.095366007,0.230386763,3.247748737,13.89012739,8.519747751,1.82584026
KSS,2019,26.941,23.3978,84.979,45.1564,25283,N56 W17000 Ridgewood Drive,53051,Menomonee Falls,0,0,0,0,0,1,0,5311,KOHL'S CORP,885639,USA,4649,14555,723,3537,0,2769,9105,9743,0,0,15,5450,12140,0,423,1099,4.39,691,691,19974,207,156,6124,42.75,15,12469,29,3475,5527,12199,163,1880,1.678945468,0.26652221,907.9090909,0.402022629,3.462635482,105.4110379,0.625558227,1.670642202,5.309178744,0.034594973,1.478241563,0.051139728,0.125899608,4.429487179,34.93589744,9.651230101,9.894736842
SPWH,2019,0,13.2104,84.287,32.5621,16009,"1475 West 9000 South, Suite A",84088,West Jordan,0,0,0,0,0,1,0,5940,SPORTSMANS WAREHOUSE HLDGS,1132105,USA,291.638,616.641,1.685,275.505,0,264.776,506.373,323.287,0,0,1.716,110.268,570.448,0,0,33.464,0.47,20.215,20.215,886.401,7.995,43.296,281.458,6.48,1.72,388.9,0.25,276.6,78.66,545.95,42.98,26.862,1.101451793,0.01284482,899.8994924,0.405600851,2.066447505,176.6316343,0.821179584,4.592202634,4.18561601,0.022805705,1.763033034,0.040207212,0.213996867,0.466902254,2.546840355,13.87870789,0
HVT,2019,7.067,15.4776,87.477,36.7367,5523,"780 Johnson Ferry Road, Suite 800",30342,Atlanta,0,0,0,0,0,1,0,5712,HAVERTY FURNITURE,216085,USA,204.523,560.072,75.739,104.817,6.663,127.016,299.569,332.008,0,0.16,1.527,260.503,347.207,0,15.056,27.021,1.1,21.865,21.865,802.37,0.152,19.113,179.005,20.16,1.37,440.18,1.66,105.84,274.63,341.39,20.54,77.507,1.610214461,0.659515337,529.6171617,0.689177063,3.296420247,110.7261734,0.534875873,1.149963724,177.7697368,0.02725052,1.604335707,0.043718983,0.081718003,1.143985769,13.62962382,17.62259684,0.746825397
SCVL,2019,0,12.5756,84.979,32.5822,27938,7500 East Columbia Street,47715,Evansville,0,0,0,0,0,1,0,5661,SHOE CARNIVAL INC,895447,USA,329.647,628.374,61.899,259.495,0,122.506,331.011,282.788,0,0,2.724,297.363,707.882,0,4.947,54.209,2.97,42.914,42.851,1036.551,0.191,14.008,237.254,35.86,2.72,418,1.22,257.54,304.43,698.82,15.38,207.141,2.690864121,0.527508857,526.1680203,0.693694763,2.73823629,133.2974811,0.526773864,1.113154629,283.8167539,0.041400761,1.981224686,0.082024209,0.142620469,3.063535123,21.22808395,11.70543133,0.137953151
DLTR,2020,15.282,11.8198,84.979,37.4208,31587,500 Volvo Parkway,23320,Chesapeake,0,0,0,0,0,1,0,5331,DOLLAR TREE INC,935703,USA,5050.8,20696,1416.7,3427,0,3730.3,13410.7,10440.4,0,0,0,7285.3,16995.1,0,0,2185.2,5.68,1341.9,1341.9,25509.3,150.5,233.383,9639.9,101.66,0,19574.6,113.3,3522,6254.8,15981.5,236.73,1320.5,1.353992976,0.379781787,450.2965578,0.810576927,4.891380055,74.62106725,0.647985118,1.840788986,14.51960133,0.052604344,1.266894459,0.066644152,0.198211239,5.749776119,31.21606972,17.68068841,0
